transaction_id,item
T0042,lentils
T0043,cereal
T0043,milk
T0044,cereal
T0044,chocolate
T0044,milk
T0044,onions
T0045,cereal
T0045,lentils
T0045,milk
T0046,bananas
T0046,biscuits
T0046,onions
T0046,sugar
T0046,tomatoes
T0047,biscuits
T0047,coffee
T0047,sugar
T0047,tea
T0047,tomatoes
T0048,bread
T0048,butter
T0048,cheese
T0048,chicken
T0048,jam
T0049,biscuits
T0049,cheese
T0050,biscuits
T0050,cheese
T0050,sugar
T0050,tea
T0050,yogurt
T0051,bananas
T0051,coffee
T0051,milk
T0051,tomatoes
T0052,bananas
T0052,bread
T0052,butter
T0052,milk
T0053,tea
T0054,bananas
T0054,biscuits
T0054,bread
T0055,biscuits
T0055,chicken
T0055,oil
T0056,bananas
T0056,bread
T0056,cereal
T0056,chicken
T0056,jam
T0056,milk
T0056,onions
T0056,tomatoes
T0056,yogurt
T0057,cereal
T0057,chicken
T0057,jam
T0057,milk
T0057,yogurt
T0058,rice
T0059,biscuits
T0059,cereal
T0059,onions
T0060,cereal
T0060,lentils
T0060,oil
T0060,onions
T0060,sugar
T0060,tomatoes
T0061,bananas
T0061,butter
T0061,eggs
T0062,bananas
T0062,butter
T0062,onions
T0062,tomatoes
T0063,coffee
T0063,sugar
T0064,butter
T0064,tomatoes
T0065,bananas
T0065,bread
T0065,jam
T0065,milk
T0065,sugar
T0065,yogurt
T0066,onions
T0066,tomatoes
T0067,lentils
T0068,bread
T0068,butter
T0068,cheese
T0068,jam
T0069,biscuits
T0069,sugar
T0069,tea
T0070,cereal
T0070,milk
T0070,yogurt
T0071,cereal
T0071,coffee
T0071,milk
T0071,oil
T0071,onions
T0071,sugar
T0072,milk
T0072,tea
T0073,bread
T0073,butter
T0073,milk
T0073,onions
T0073,yogurt
T0074,biscuits
T0074,bread
T0074,jam
T0075,cereal
T0075,milk
T0075,onions
T0076,onions
T0076,tomatoes
T0077,butter
T0077,tea
T0078,chicken
T0079,cereal
T0079,eggs
T0079,lentils
T0079,milk
T0079,onions
T0079,sugar
T0080,chocolate
T0080,tomatoes
T0081,sugar
T0081,tea
T0082,bananas
T0082,biscuits
T0082,oil
T0083,cheese
T0083,tomatoes
T0084,bread
T0084,butter
T0084,cereal
T0084,jam
T0084,milk
T0085,bananas
T0085,coffee
T0085,onions
T0085,tomatoes
T0085,yogurt
T0086,biscuits
T0086,cereal
T0086,milk
T0086,onions
T0087,cereal
T0088,cereal
T0088,milk
T0089,eggs
T0089,yogurt
T0090,milk
T0091,bananas
T0092,cereal
T0092,milk
T0093,bananas
T0093,butter
T0093,lentils
T0093,yogurt
T0094,milk
T0095,eggs
T0095,onions
T0095,sugar
T0095,tea
T0095,tomatoes
T0096,biscuits
T0097,biscuits
T0097,coffee
T0097,sugar
T0098,cheese
T0098,chocolate
T0098,eggs
T0098,milk
T0098,onions
T0098,tomatoes
T0099,cheese
T0099,yogurt
T0100,biscuits
T0100,cereal
T0100,jam
T0100,milk
T0100,yogurt
T0101,cereal
T0101,milk
T0101,tomatoes
T0101,yogurt
T0102,cereal
T0102,milk
T0102,sugar
T0102,tea
T0102,tomatoes
T0103,butter
T0103,chocolate
T0103,onions
T0103,tomatoes
T0104,chocolate
T0104,sugar
T0105,milk
T0106,milk
T0107,bread
T0107,butter
T0107,coffee
T0107,milk
T0107,sugar
T0108,milk
T0109,bread
T0109,coffee
T0109,sugar
T0110,bananas
T0110,bread
T0110,butter
T0110,tea
T0111,bananas
T0111,bread
T0111,chicken
T0111,coffee
T0111,tomatoes
T0112,bread
T0112,jam
T0112,lentils
T0113,milk
T0114,milk
T0115,biscuits
T0115,chicken
T0115,oil
T0115,onions
T0115,tea
T0115,tomatoes
T0116,biscuits
T0116,bread
T0116,eggs
T0116,jam
T0117,biscuits
T0117,butter
T0117,cheese
T0117,oil
T0118,chicken
T0119,bread
T0119,butter
T0119,sugar
T0119,tomatoes
T0120,bananas
T0120,rice
T0120,sugar
T0121,bananas
T0121,chocolate
T0122,coffee
T0122,sugar
T0123,bread
T0123,jam
T0124,butter
T0124,cheese
T0124,chicken
T0124,yogurt
T0125,bread
T0125,butter
T0125,jam
T0125,oil
T0126,oil
T0126,onions
T0127,milk
T0127,tomatoes
T0127,yogurt
T0128,chocolate
T0128,jam
T0128,tomatoes
T0129,bread
T0129,butter
T0129,chocolate
T0129,jam
T0130,milk
T0131,milk
T0132,cereal
T0132,jam
T0132,milk
T0133,chicken
T0133,jam
T0134,biscuits
T0134,coffee
T0134,sugar
T0134,tea
T0135,bread
T0135,lentils
T0135,rice
T0136,biscuits
T0136,bread
T0136,butter
T0136,cereal
T0136,cheese
T0136,lentils
T0136,milk
T0136,onions
T0136,rice
T0136,tea
T0136,tomatoes
T0137,cheese
T0137,oil
T0137,yogurt
T0138,bananas
T0138,bread
T0138,butter
T0138,jam
T0139,milk
T0140,cereal
T0140,milk
T0140,yogurt
T0141,bananas
T0141,onions
T0142,eggs
T0142,tomatoes
T0143,cereal
T0143,coffee
T0144,coffee
T0145,butter
T0145,cereal
T0145,coffee
T0145,eggs
T0145,milk
T0145,sugar
T0145,tomatoes
T0145,yogurt
T0146,butter
T0146,eggs
T0146,tomatoes
T0147,biscuits
T0147,sugar
T0147,tea
T0147,tomatoes
T0148,bread
T0148,butter
T0148,eggs
T0148,jam
T0148,lentils
T0148,rice
T0149,bananas
T0150,biscuits
T0150,tea
T0151,bread
T0151,jam
T0152,bananas
T0153,milk
T0154,butter
T0154,sugar
T0155,cereal
T0155,milk
T0156,onions
T0156,tomatoes
T0157,oil
T0157,tomatoes
T0158,cereal
T0158,coffee
T0158,lentils
T0158,milk
T0158,oil
T0158,rice
T0158,sugar
T0158,yogurt
T0159,eggs
T0160,bread
T0160,jam
T0160,oil
T0161,yogurt
T0162,bread
T0162,chicken
T0162,jam
T0163,lentils
T0164,butter
T0164,cereal
T0164,coffee
T0164,lentils
T0164,rice
T0164,sugar
T0164,yogurt
T0165,milk
T0166,biscuits
T0166,cereal
T0166,coffee
T0166,jam
T0166,milk
T0166,sugar
T0167,cheese
T0168,jam
T0168,onions
T0169,cheese
T0169,eggs
T0169,onions
T0169,tomatoes
T0170,bread
T0170,butter
T0170,lentils
T0170,sugar
T0171,chicken
T0171,sugar
T0171,tomatoes
T0172,milk
T0173,cereal
T0173,chocolate
T0173,lentils
T0173,rice
T0173,sugar
T0173,tea
T0174,biscuits
T0174,coffee
T0175,chocolate
T0176,jam
T0176,lentils
T0176,milk
T0177,sugar
T0177,tomatoes
T0178,cereal
T0178,chicken
T0178,sugar
T0179,cereal
T0179,milk
T0180,bananas
T0180,bread
T0180,butter
T0180,sugar
T0181,butter
T0181,coffee
T0181,sugar
T0181,tea
T0182,bread
T0182,butter
T0182,jam
T0182,oil
T0182,tomatoes
T0183,biscuits
T0183,bread
T0183,cereal
T0183,chicken
T0183,sugar
T0183,tea
T0184,biscuits
T0184,bread
T0184,cereal
T0184,milk
T0184,yogurt
T0185,biscuits
T0185,coffee
T0185,oil
T0185,sugar
T0186,milk
T0187,bread
T0187,jam
T0187,yogurt
T0188,bananas
T0188,cheese
T0188,chocolate
T0188,eggs
T0189,onions
T0190,sugar
T0191,cereal
T0191,coffee
T0192,jam
T0193,butter
T0194,onions
T0195,chocolate
T0195,eggs
T0196,cereal
T0196,milk
T0196,onions
T0196,yogurt
T0197,bananas
T0197,lentils
T0197,tomatoes
T0198,cereal
T0198,milk
T0199,bread
T0199,chocolate
T0199,jam
T0199,onions
T0200,bread
T0200,butter
T0200,chicken
T0200,coffee
T0200,onions
T0200,tea
T0201,bananas
T0201,butter
T0201,cheese
T0201,eggs
T0202,sugar
T0202,yogurt
T0203,chicken
T0203,lentils
T0203,rice
T0203,tomatoes
T0204,biscuits
T0204,butter
T0204,milk
T0205,cereal
T0205,eggs
T0205,milk
T0205,yogurt
T0206,biscuits
T0206,eggs
T0207,bread
T0207,butter
T0207,eggs
T0207,jam
T0207,lentils
T0208,bread
T0208,butter
T0208,cereal
T0208,milk
T0208,yogurt
T0209,milk
T0210,biscuits
T0210,bread
T0210,butter
T0210,cheese
T0210,coffee
T0210,lentils
T0210,sugar
T0210,tea
T0211,cereal
T0211,milk
T0211,rice
T0211,yogurt
T0212,milk
T0213,bread
T0213,butter
T0213,cereal
T0213,chicken
T0213,milk
T0213,yogurt
T0214,bread
T0214,butter
T0214,chicken
T0214,coffee
T0214,jam
T0215,biscuits
T0216,bread
T0216,jam
T0217,bread
T0217,cereal
T0217,chicken
T0217,milk
T0217,onions
T0217,tomatoes
T0217,yogurt
T0218,biscuits
T0218,cereal
T0218,tea
T0219,chocolate
T0219,oil
T0219,onions
T0219,tomatoes
T0220,bananas
T0220,biscuits
T0220,lentils
T0220,sugar
T0221,coffee
T0221,onions
T0221,rice
T0221,sugar
T0222,bananas
T0222,biscuits
T0222,butter
T0222,sugar
T0222,tea
T0222,tomatoes
T0223,chocolate
T0223,eggs
T0223,onions
T0223,sugar
T0223,tomatoes
T0224,onions
T0224,tomatoes
T0225,lentils
T0225,milk
T0226,milk
T0227,bananas
T0227,cheese
T0227,lentils
T0227,tomatoes
T0228,milk
T0229,butter
T0229,coffee
T0230,eggs
T0230,tomatoes
T0231,bread
T0231,butter
T0232,bananas
T0232,bread
T0232,butter
T0232,cereal
T0232,jam
T0232,lentils
T0232,milk
T0232,onions
T0232,tomatoes
T0233,biscuits
T0233,bread
T0233,chicken
T0234,cereal
T0234,milk
T0235,biscuits
T0235,coffee
T0235,lentils
T0235,onions
T0235,sugar
T0235,tea
T0235,tomatoes
T0236,biscuits
T0236,bread
T0236,butter
T0236,cereal
T0236,coffee
T0236,milk
T0236,sugar
T0237,eggs
T0237,lentils
T0237,rice
T0238,bread
T0238,butter
T0238,eggs
T0238,lentils
T0238,milk
T0239,bread
T0239,butter
T0239,cereal
T0239,coffee
T0239,milk
T0239,sugar
T0240,bananas
T0240,coffee
T0240,sugar
T0240,tea
T0241,tomatoes
T0242,milk
T0243,bananas
T0243,cereal
T0243,coffee
T0243,sugar
T0243,yogurt
T0244,lentils
T0245,butter
T0245,chicken
T0246,bananas
T0246,cheese
T0246,milk
T0246,onions
T0247,bananas
T0247,bread
T0247,butter
T0247,cereal
T0247,jam
T0247,milk
T0247,oil
T0247,sugar
T0248,butter
T0248,oil
T0248,tea
T0248,tomatoes
T0249,bananas
T0250,butter
T0250,milk
T0251,biscuits
T0251,butter
T0251,coffee
T0251,onions
T0251,sugar
T0251,tomatoes
T0252,rice
T0253,milk
T0254,milk
T0255,coffee
T0255,lentils
T0255,onions
T0255,rice
T0255,sugar
T0256,biscuits
T0256,cereal
T0256,milk
T0256,oil
T0256,tea
T0256,yogurt
T0257,bread
T0257,butter
T0257,jam
T0257,tomatoes
T0258,bread
T0258,chocolate
T0258,eggs
T0259,butter
T0260,bread
T0260,oil
T0260,tomatoes
T0261,bananas
T0261,chocolate
T0261,eggs
T0261,milk
T0261,yogurt
T0262,eggs
T0262,rice
T0262,tomatoes
T0263,yogurt
T0264,bananas
T0264,bread
T0264,butter
T0264,chicken
T0264,jam
T0264,onions
T0264,rice
T0264,tomatoes
T0265,biscuits
T0265,cereal
T0265,milk
T0265,oil
T0265,onions
T0265,tomatoes
T0265,yogurt
T0266,yogurt
T0267,bread
T0267,coffee
T0267,jam
T0267,oil
T0267,sugar
T0268,biscuits
T0268,cereal
T0268,milk
T0268,rice
T0268,tea
T0269,bread
T0270,eggs
T0270,yogurt
T0271,biscuits
T0271,eggs
T0271,sugar
T0271,tea
T0271,yogurt
T0272,butter
T0272,cheese
T0272,coffee
T0272,jam
T0272,lentils
T0272,milk
T0272,onions
T0272,tea
T0272,tomatoes
T0273,butter
T0273,cereal
T0273,jam
T0273,milk
T0274,eggs
T0274,tomatoes
T0275,coffee
T0275,lentils
T0275,oil
T0275,rice
T0276,biscuits
T0276,bread
T0277,bananas
T0277,butter
T0277,milk
T0277,oil
T0277,onions
T0277,sugar
T0277,yogurt
T0278,biscuits
T0278,butter
T0278,eggs
T0278,oil
T0278,sugar
T0278,tea
T0279,bananas
T0279,biscuits
T0280,bread
T0280,jam
T0281,milk
T0282,milk
T0283,biscuits
T0283,bread
T0283,butter
T0283,cereal
T0283,chocolate
T0283,eggs
T0283,milk
T0283,yogurt
T0284,butter
T0284,onions
T0284,tomatoes
T0285,bread
T0285,butter
T0285,jam
T0285,yogurt
T0286,biscuits
T0286,cereal
T0286,milk
T0286,sugar
T0286,tea
T0286,yogurt
T0287,chicken
T0287,eggs
T0287,lentils
T0287,oil
T0287,yogurt
T0288,milk
T0289,bananas
T0289,cereal
T0289,eggs
T0289,oil
T0289,onions
T0290,cheese
T0290,onions
T0290,sugar
T0291,biscuits
T0291,bread
T0291,butter
T0291,cereal
T0291,chicken
T0292,bread
T0292,cereal
T0292,jam
T0292,lentils
T0292,milk
T0292,rice
T0292,yogurt
T0293,biscuits
T0293,tea
T0294,milk
T0295,oil
T0296,butter
T0296,cereal
T0296,chicken
T0296,milk
T0296,tomatoes
T0297,coffee
T0298,butter
T0298,chicken
T0298,eggs
T0298,jam
T0298,milk
T0298,tea
T0298,yogurt
T0299,cereal
T0299,cheese
T0299,milk
T0299,yogurt
T0300,bananas
T0300,coffee
T0300,sugar
T0301,butter
T0301,cereal
T0301,chocolate
T0301,milk
T0301,onions
T0301,sugar
T0301,tomatoes
T0301,yogurt
T0302,cheese
T0302,eggs
T0302,milk
T0302,tomatoes
T0303,butter
T0303,eggs
T0303,rice
T0304,onions
T0304,tea
T0304,yogurt
T0305,eggs
T0305,sugar
T0306,bread
T0306,cheese
T0307,butter
T0308,biscuits
T0308,butter
T0308,lentils
T0308,rice
T0308,tomatoes
T0309,chicken
T0309,sugar
T0310,bread
T0310,cereal
T0310,chocolate
T0310,eggs
T0310,milk
T0310,oil
T0311,bananas
T0311,chocolate
T0311,lentils
T0312,jam
T0312,lentils
T0313,biscuits
T0313,tea
T0313,yogurt
T0314,bread
T0314,butter
T0314,jam
T0314,milk
T0315,biscuits
T0315,cereal
T0315,milk
T0315,sugar
T0316,bread
T0316,butter
T0316,milk
T0316,oil
T0316,sugar
T0317,butter
T0317,sugar
T0318,bread
T0318,butter
T0318,jam
T0318,lentils
T0318,onions
T0318,tomatoes
T0318,yogurt
T0319,coffee
T0319,sugar
T0320,bread
T0320,yogurt
T0321,cheese
T0321,chicken
T0322,cereal
T0322,milk
T0322,yogurt
T0323,milk
T0323,onions
T0323,sugar
T0323,tomatoes
T0324,bread
T0324,butter
T0324,rice
T0324,sugar
T0324,tea
T0325,biscuits
T0325,chocolate
T0325,milk
T0326,biscuits
T0326,sugar
T0326,tea
T0327,tomatoes
T0328,onions
T0328,rice
T0328,sugar
T0329,cereal
T0329,coffee
T0329,eggs
T0329,milk
T0330,coffee
T0330,milk
T0330,sugar
T0331,bananas
T0331,bread
T0331,butter
T0332,bread
T0332,butter
T0332,jam
T0332,sugar
T0333,cereal
T0333,eggs
T0333,lentils
T0333,milk
T0334,bread
T0334,butter
T0334,jam
T0334,onions
T0334,tomatoes
T0334,yogurt
T0335,bread
T0335,butter
T0335,cereal
T0335,jam
T0335,lentils
T0335,milk
T0335,rice
T0335,tea
T0335,yogurt
T0336,biscuits
T0336,bread
T0336,butter
T0336,jam
T0336,tea
T0337,lentils
T0337,rice
T0337,sugar
T0338,jam
T0338,tea
T0339,milk
T0340,tomatoes
T0341,lentils
T0341,tomatoes
T0342,tea
T0343,bread
T0343,butter
T0343,cereal
T0343,eggs
T0343,jam
T0344,bread
T0344,tomatoes
T0345,onions
T0345,tomatoes
T0346,eggs
T0347,cereal
T0347,chocolate
T0347,milk
T0347,tomatoes
T0347,yogurt
T0348,biscuits
T0348,onions
T0348,tomatoes
T0349,biscuits
T0349,tea
T0350,lentils
T0351,milk
T0352,bananas
T0352,biscuits
T0353,bananas
T0353,bread
T0353,butter
T0354,bread
T0354,cereal
T0354,jam
T0354,milk
T0354,yogurt
T0355,bananas
T0355,yogurt
T0356,cereal
T0356,coffee
T0356,jam
T0356,milk
T0356,yogurt
T0357,chocolate
T0357,onions
T0357,tomatoes
T0358,bread
T0358,butter
T0358,cereal
T0358,chicken
T0358,rice
T0359,eggs
T0359,milk
T0359,sugar
T0359,yogurt
T0360,bananas
T0360,bread
T0360,eggs
T0360,jam
T0361,milk
T0362,butter
T0362,chicken
T0362,eggs
T0363,bread
T0363,butter
T0363,coffee
T0363,sugar
T0363,tea
T0364,coffee
T0364,eggs
T0364,onions
T0364,sugar
T0364,tomatoes
T0365,rice
T0366,butter
T0366,eggs
T0366,yogurt
T0367,bread
T0367,butter
T0367,cereal
T0367,jam
T0367,milk
T0367,tomatoes
T0368,eggs
T0369,sugar
T0370,biscuits
T0370,sugar
T0370,tea
T0371,cereal
T0371,cheese
T0371,onions
T0372,cereal
T0372,milk
T0373,milk
T0374,eggs
T0374,tea
T0375,bananas
T0375,cereal
T0375,lentils
T0375,milk
T0375,rice
T0375,sugar
T0375,yogurt
T0376,cereal
T0376,milk
T0377,chocolate
T0378,cheese
T0378,lentils
T0378,rice
T0379,cereal
T0379,milk
T0379,sugar
T0379,yogurt
T0380,butter
T0380,coffee
T0380,sugar
T0381,chocolate
T0381,jam
T0381,onions
T0382,butter
T0382,cereal
T0382,coffee
T0382,milk
T0383,lentils
T0384,eggs
T0385,eggs
T0385,sugar
T0386,bananas
T0386,bread
T0386,butter
T0386,jam
T0386,onions
T0386,sugar
T0386,tomatoes
T0387,milk
T0388,onions
T0388,tomatoes
T0389,bananas
T0389,biscuits
T0389,bread
T0389,butter
T0389,chicken
T0389,jam
T0389,tomatoes
T0390,butter
T0390,cereal
T0390,milk
T0390,sugar
T0390,tea
T0391,eggs
T0392,butter
T0392,lentils
T0392,onions
T0392,rice
T0393,butter
T0393,lentils
T0393,rice
T0394,coffee
T0394,sugar
T0395,bread
T0395,butter
T0396,bread
T0396,butter
T0396,jam
T0396,milk
T0396,onions
T0396,tomatoes
T0396,yogurt
T0397,milk
T0398,milk
T0399,lentils
T0400,eggs
T0401,biscuits
T0401,chocolate
T0401,onions
T0401,tomatoes
T0402,milk
T0403,cereal
T0403,eggs
T0403,lentils
T0403,milk
T0403,rice
T0403,yogurt
T0404,biscuits
T0405,bread
T0405,butter
T0405,jam
T0406,milk
T0406,onions
T0406,rice
T0406,tomatoes
T0406,yogurt
T0407,bananas
T0407,tomatoes
T0408,lentils
T0408,milk
T0409,bread
T0409,cereal
T0409,coffee
T0409,milk
T0409,sugar
T0410,bananas
T0410,lentils
T0410,onions
T0410,tomatoes
T0411,cheese
T0412,biscuits
T0412,cereal
T0412,milk
T0412,yogurt
T0413,bread
T0413,butter
T0414,bread
T0414,jam
T0415,biscuits
T0415,butter
T0415,jam
T0415,tomatoes
T0416,bananas
T0416,bread
T0416,cereal
T0416,jam
T0416,milk
T0416,tomatoes
T0417,jam
T0417,milk
T0418,bread
T0418,butter
T0419,butter
T0419,cereal
T0419,chicken
T0419,eggs
T0419,lentils
T0419,milk
T0419,tomatoes
T0420,bread
T0420,butter
T0420,chocolate
T0421,tea
T0422,milk
T0422,sugar
T0422,tea
T0423,chocolate
T0423,oil
T0424,onions
T0424,tomatoes
T0425,cheese
T0426,bread
T0426,chicken
T0426,oil
T0426,tomatoes
T0427,cheese
T0427,sugar
T0427,yogurt
T0428,biscuits
T0428,cereal
T0428,milk
T0428,sugar
T0428,tomatoes
T0429,coffee
T0430,bananas
T0430,bread
T0430,chocolate
T0430,sugar
T0431,milk
T0432,sugar
T0433,milk
T0433,onions
T0433,tomatoes
T0433,yogurt
T0434,eggs
T0435,butter
T0435,chocolate
T0435,milk
T0435,yogurt
T0436,onions
T0436,tomatoes
T0437,bananas
T0437,biscuits
T0437,onions
T0437,sugar
T0437,tomatoes
T0438,chocolate
T0438,eggs
T0438,yogurt
T0439,tomatoes
T0440,milk
T0441,cereal
T0441,jam
T0441,milk
T0442,oil
T0443,biscuits
T0443,chicken
T0443,milk
T0443,yogurt
T0444,biscuits
T0444,tomatoes
T0445,cereal
T0445,eggs
T0445,jam
T0445,milk
T0446,jam
T0446,lentils
T0446,onions
T0446,rice
T0446,yogurt
T0447,butter
T0448,cereal
T0448,milk
T0448,oil
T0448,sugar
T0448,yogurt
T0449,biscuits
T0449,coffee
T0449,eggs
T0449,jam
T0449,sugar
T0450,biscuits
T0451,biscuits
T0451,bread
T0451,butter
T0451,oil
T0452,cereal
T0452,eggs
T0452,jam
T0452,milk
T0452,onions
T0452,sugar
T0452,tomatoes
T0453,chocolate
T0453,lentils
T0453,rice
T0454,biscuits
T0454,bread
T0454,sugar
T0455,biscuits
T0455,butter
T0455,eggs
T0456,cereal
T0456,milk
T0456,oil
T0456,sugar
T0457,biscuits
T0457,butter
T0457,cereal
T0457,coffee
T0457,eggs
T0457,milk
T0457,onions
T0457,sugar
T0457,tomatoes
T0458,jam
T0458,lentils
T0458,rice
T0459,bread
T0459,butter
T0459,coffee
T0459,eggs
T0459,jam
T0459,milk
T0459,yogurt
T0460,bananas
T0460,cereal
T0460,lentils
T0460,milk
T0461,milk
T0462,bananas
T0463,bananas
T0463,onions
T0464,bread
T0464,butter
T0464,eggs
T0464,jam
T0464,milk
T0464,onions
T0464,tomatoes
T0464,yogurt
T0465,cereal
T0465,lentils
T0465,milk
T0466,bread
T0466,cereal
T0466,coffee
T0466,jam
T0466,milk
T0467,chicken
T0468,bananas
T0468,butter
T0468,oil
T0469,bananas
T0469,bread
T0469,chicken
T0469,lentils
T0469,rice
T0469,tea
T0470,onions
T0471,butter
T0471,cereal
T0471,chicken
T0471,milk
T0471,yogurt
T0472,bananas
T0472,biscuits
T0472,chocolate
T0472,eggs
T0472,milk
T0473,rice
T0474,cereal
T0474,cheese
T0474,oil
T0474,rice
T0474,sugar
T0474,tea
T0475,biscuits
T0475,bread
T0475,eggs
T0475,jam
T0476,bread
T0476,butter
T0476,jam
T0476,lentils
T0476,rice
T0477,tomatoes
T0477,yogurt
T0478,milk
T0479,bananas
T0479,rice
T0480,bread
T0480,butter
T0480,onions
T0481,cereal
T0482,milk
T0483,cereal
T0483,milk
T0483,tomatoes
T0483,yogurt
T0484,bread
T0484,butter
T0484,cheese
T0484,chocolate
T0485,cereal
T0485,oil
T0486,biscuits
T0486,cereal
T0486,milk
T0486,oil
T0486,onions
T0487,milk
T0487,yogurt
T0488,milk
T0489,cheese
T0489,eggs
T0490,bread
T0490,eggs
T0491,milk
T0491,tomatoes
T0491,yogurt
T0492,milk
T0493,butter
T0493,coffee
T0493,jam
T0493,milk
T0493,tea
T0494,biscuits
T0494,eggs
T0494,onions
T0494,tomatoes
T0495,cheese
T0495,eggs
T0495,onions
T0496,biscuits
T0496,coffee
T0496,jam
T0496,milk
T0496,onions
T0496,sugar
T0496,tea
T0496,yogurt
T0497,cereal
T0497,milk
T0498,milk
T0499,cereal
T0499,milk
T0499,sugar
T0500,chicken
T0500,eggs
T0501,cereal
T0501,milk
T0501,tomatoes
T0501,yogurt
T0502,cereal
T0503,bananas
T0503,bread
T0503,butter
T0503,onions
T0504,bread
T0504,butter
T0504,cereal
T0504,cheese
T0504,jam
T0504,rice
T0505,jam
T0505,lentils
T0505,rice
T0506,bread
T0506,butter
T0506,jam
T0506,milk
T0507,bananas
T0507,bread
T0507,butter
T0507,coffee
T0507,sugar
T0508,bread
T0508,butter
T0508,chicken
T0508,eggs
T0508,jam
T0508,onions
T0508,tomatoes
T0509,butter
T0509,cereal
T0509,milk
T0509,yogurt
T0510,bananas
T0510,butter
T0510,jam
T0510,lentils
T0510,milk
T0510,rice
T0510,sugar
T0511,eggs
T0512,biscuits
T0512,coffee
T0512,eggs
T0513,milk
T0514,bread
T0514,cereal
T0514,cheese
T0514,coffee
T0514,milk
T0514,oil
T0514,sugar
T0514,tomatoes
T0514,yogurt
T0515,eggs
T0515,lentils
T0516,milk
T0517,eggs
T0517,milk
T0518,butter
T0518,cheese
T0518,eggs
T0519,onions
T0520,coffee
T0520,jam
T0520,lentils
T0520,sugar
T0521,chicken
T0521,coffee
T0522,cereal
T0522,eggs
T0522,lentils
T0522,milk
T0523,bananas
T0523,bread
T0523,chicken
T0524,sugar
T0524,tomatoes
T0525,lentils
T0525,onions
T0525,tomatoes
T0526,bananas
T0526,bread
T0526,onions
T0526,sugar
T0527,tomatoes
T0528,cereal
T0528,milk
T0528,tomatoes
T0528,yogurt
T0529,sugar
T0530,chicken
T0531,tomatoes
T0532,jam
T0532,sugar
T0533,coffee
T0534,bread
T0534,butter
T0534,jam
T0535,cereal
T0535,milk
T0535,sugar
T0535,yogurt
T0536,cereal
T0536,jam
T0536,milk
T0536,yogurt
T0537,butter
T0537,sugar
T0538,lentils
T0538,milk
T0538,rice
T0538,yogurt
T0539,coffee
T0539,onions
T0539,tomatoes
T0540,bananas
T0540,milk
T0540,oil
T0540,onions
T0540,tea
T0540,tomatoes
T0540,yogurt
T0541,lentils
T0541,sugar
T0541,tomatoes
T0542,sugar
T0542,yogurt
T0543,bread
T0543,milk
T0543,oil
T0544,milk
T0545,chicken
T0546,butter
T0546,oil
T0546,onions
T0546,sugar
T0546,tea
T0547,butter
T0548,cheese
T0548,coffee
T0548,lentils
T0548,sugar
T0549,tea
T0549,yogurt
T0550,cereal
T0550,milk
T0551,bananas
T0551,butter
T0551,milk
T0552,butter
T0552,cheese
T0552,chocolate
T0552,tomatoes
T0553,milk
T0554,rice
T0554,sugar
T0555,cereal
T0555,chocolate
T0555,milk
T0555,onions
T0555,rice
T0555,yogurt
T0556,onions
T0557,bread
T0558,eggs
T0558,tomatoes
T0558,yogurt
T0559,biscuits
T0559,butter
T0559,cereal
T0559,sugar
T0560,bananas
T0560,biscuits
T0560,chocolate
T0560,eggs
T0560,sugar
