customer_id,signup_date,age,gender,city,plan,tenure_months,monthly_charges,total_charges,support_tickets,last_login_days,satisfaction_score,churned,cancellation_reason
C00045,2019-08-26,39.0,M,Delhi,Premium,54,70.46,3804.84,0,10,7.0,1,price
C00877,2020-04-12,38.0,Female,Chennai,Premium,43,60.8,2614.40,1,13,8.0,0,
C00399,2021-03-05,44.0,male,Delhi,Premium,2,68.17,136.34,3,5,7.0,1,moved
C00287,2023-05-27,41.0,F,Bengaluru,Standard,30,59.02,1770.60,1,6,7.0,0,
C00362,2023-04-13,43.0,male,Kolkata,Standard,38,49.64,1886.32,1,4,8.0,1,competitor
C00320,2022-12-11,,,Kolkata,Premium,63,62.92,3963.96,1,20,6.0,0,
C00199,2019-06-16,38.0,Female,Bengaluru,Basic,9,28.63,257.67,2,4,6.0,0,
C00848,2023-08-01,48.0,F,Pune,Basic,69,19.61,1353.09,0,10,8.0,0,
C00787,2021-02-06,39.0,F,Mumbai,Basic,41,24.69,1012.29,1,14,10.0,0,
C00364,2022-04-03,25.0,male,Bengaluru,Basic,23,19.68,452.64,3,25,6.0,1,price
C00696,2023-10-06,29.0,Male ,Kolkata,Basic,39,31.9,1244.10,3,10,5.0,0,
C00761,2023-01-10,53.0,F,Jaipur,Basic,67,18.18,1218.06,0,11,10.0,0,
C00238,2022-07-30,36.0,,Pune,Standard,12,53.31,639.72,0,11,10.0,0,
C00278,2022-05-27,25.0,M,Chennai,Standard,55,51.0,2805.00,3,7,6.0,0,
C00952,2019-12-14,43.0,F,Delhi,Standard,10,42.27,422.70,1,3,6.0,0,
C00319,2020-11-06,50.0,F,Jaipur,Standard,69,39.85,2749.65,1,9,7.0,0,
C00644,2020-03-24,40.0,M,Delhi,Basic,38,,1023.72,1,4,7.0,0,
C00328,2019-11-12,37.0,F,Pune,Premium,21,67.23,1411.83,0,4,,0,
C00061,2020-12-21,18.0,M,Kolkata,Standard,52,48.26,2509.52,1,8,8.0,0,
C00389,2021-05-29,41.0,F,Chennai,Basic,35,29.58,1035.30,0,47,8.0,0,
C00479,2019-10-03,38.0,female,Hyderabad,Basic,34,40.61,1380.74,0,5,10.0,0,
C00604,2021-10-08,30.0,M,Delhi,Standard,14,41.23,577.22,1,4,7.0,0,
C00451,2023-09-16,36.0,F,Bengaluru,Premium,32,71.96,2302.72,1,6,7.0,0,
C00826,2020-02-29,38.0,male,Chennai,Premium,39,68.88,2686.32,0,9,10.0,0,
C00378,2023-08-13,18.0,Female,Hyderabad,Premium,47,62.28,2927.16,0,29,10.0,0,
C00947,2023-03-22,42.0,F,Kolkata,Basic,39,29.2,1138.80,0,4,10.0,0,
C00637,2021-01-31,36.0,male,Pune,Basic,51,23.77,1212.27,1,42,7.0,0,
C00698,2019-04-30,26.0,Male ,Pune,Basic,72,30.02,2161.44,1,6,7.0,0,
C00991,2021-05-12,48.0,F,Delhi,Basic,18,22.57,406.26,0,2,10.0,0,
C00797,2022-01-28,50.0,F,Mumbai,Basic,23,15.0,345.00,0,13,9.0,0,
C00549,2020-09-12,46.0,F,Chennai,Basic,48,27.18,1304.64,2,13,8.0,0,
C00724,2019-08-30,1.0,F,Chennai,Basic,39,28.43,1108.77,1,7,10.0,0,
C00842,2019-12-06,38.0,Male ,Delhi,Premium,7,66.32,464.24,0,7,8.0,0,
C00111,2019-12-12,43.0,F,Delhi,Standard,51,62.27,3175.77,0,30,5.0,0,
C00532,2022-04-04,27.0,F,Hyderabad,Standard,16,41.63,666.08,1,30,7.0,0,
C00494,2019-09-21,43.0,M,Mumbai,Standard,30,45.95,1378.50,1,3,7.0,0,
C00883,2021-09-05,25.0,F,Jaipur,Standard,68,37.57,2554.76,2,7,6.0,1,service
C00261,2019-07-11,35.0,Female,Kolkata,Basic,5,30.18,150.90,2,20,5.0,0,
C00480,2020-09-04,69.0,male,Mumbai,Basic,10,15.0,150.00,1,14,7.0,0,
C00812,2021-01-21,31.0,M,Bengaluru,Premium,18,61.04,1098.72,1,18,5.0,0,
C00478,2019-03-21,24.0,M,Kolkata,Basic,43,26.47,1138.21,0,18,9.0,0,
C00433,2023-06-19,36.0,F,Chennai,Premium,55,47.12,2591.60,2,7,7.0,0,
C00791,2019-11-22,29.0,M,Pune,Premium,14,62.39,873.46,0,7,9.0,0,
C00741,2021-12-21,50.0,M,Chennai,Basic,37,25.68,950.16,3,11,6.0,0,
C00529,2021-05-03,41.0,M,Bengaluru,Basic,70,30.92,2164.40,1,5,8.0,0,
C00737,2022-11-12,47.0,M,Kolkata,Standard,21,54.67,1148.07,0,9,10.0,0,
C00138,2023-11-10,48.0,M,Mumbai,Standard,61,38.83,2368.63,1,7,8.0,0,
C00953,2021-08-05,44.0,M,Delhi,Premium,28,65.86,1844.08,1,10,6.0,1,competitor
C00372,2020-02-23,54.0,F,Kolkata,Basic,1,35.95, ,2,13,6.0,1,unknown
C00949,2022-07-04,43.0,F,Kolkata,Basic,44,31.34,1378.96,0,2,7.0,0,
C00759,2023-04-03,46.0,female,Bengaluru,Basic,46,,726.34,1,2,8.0,0,
C00248,2022-01-25,60.0,F,Bengaluru,Basic,32,39.73,1271.36,1,20,7.0,0,
C00929,2023-08-30,35.0,male,Kolkata,Standard,32,44.68,1429.76,2,6,8.0,0,
C00324,2022-09-04,47.0,M,Mumbai,Basic,16,18.16,290.56,2,13,7.0,0,
C00466,2019-01-16,32.0,F,Hyderabad,Premium,71,77.8,5523.80,1,14,7.0,0,
C00209,2021-05-21,27.0,Female,Pune,Premium,27,49.72,1342.44,1,13,6.0,0,
C00707,2020-02-23,27.0,F,Bengaluru,Basic,38,19.21,729.98,2,20,7.0,0,
C00668,2020-12-01,44.0,F,Mumbai,Premium,14,,1108.94,1,29,7.0,1,unknown
C00211,2021-08-11,49.0,,Mumbai,Standard,55,36.74,2020.70,1,24,7.0,0,
C00583,2019-07-07,34.0,M,Kolkata,Basic,72,26.36,1897.92,2,10,,0,
C00079,2023-01-30,46.0,F,Kolkata,Basic,62,36.92,2289.04,2,6,6.0,0,
C00030,2022-11-30,43.0,female,Kolkata,Standard,18,40.19,723.42,2,15,8.0,0,
C00873,2021-03-18,47.0,F,Pune,Basic,55,18.55,1020.25,1,23,7.0,0,
C00910,2021-06-15,25.0,F,Bengaluru,Standard,35,36.41,1274.35,1,14,8.0,0,
C00828,2019-12-14,37.0,M,Bengaluru,Standard,46,36.93,1698.78,1,4,8.0,0,
C00651,2022-07-01,60.0,M,Bengaluru,Basic,46,19.64,903.44,1,11,5.0,0,
C00293,2022-12-04,56.0,F,Pune,Standard,70,43.69,3058.30,1,15,6.0,0,
C00166,2020-07-10,27.0,M,Pune,Premium,57,78.12,4452.84,1,9,9.0,0,
C00568,2022-05-13,30.0,male,Bengaluru,Premium,54,72.11,3893.94,2,8,10.0,0,
C00843,2022-03-18,59.0,M,Chennai,Standard,34,51.23,1741.82,2,9,9.0,0,
C00468,2019-04-12,61.0,F,Mumbai,Premium,36,70.81,2549.16,2,13,6.0,0,
C00066,2023-01-14,48.0,F,Mumbai,Premium,50,62.5,3125.00,0,17,10.0,0,
C00142,2021-12-29,26.0,Female,Pune,Standard,56,57.3,3208.80,2,11,7.0,0,
C00988,2022-04-24,42.0,F,Mumbai,Basic,11,36.37,400.07,4,5,4.0,1,service
C00838,2021-09-27,55.0,female,Kolkata,Basic,69,34.08,2351.52,1,5,7.0,0,
C00686,2023-05-18,32.0,M,Hyderabad,Basic,63,17.99,1133.37,1,14,,0,
C00329,2019-01-17,24.0,Male ,Jaipur,Standard,19,33.99,645.81,0,13,9.0,1,competitor
C00812,2021-01-21,31.0,M,Bengaluru,Premium,18,61.04,1098.72,1,18,5.0,0,
C00528,2022-08-11,40.0,F,Pune,Standard,53,42.84,2270.52,0,16,9.0,0,
C00918,2019-07-20,44.0,F,Hyderabad,Standard,57,30.13,1717.41,0,9,9.0,0,
C00596,2021-01-21,33.0,F,Pune,Basic,39,24.93,972.27,1,11,9.0,0,
C00222,2020-01-22,41.0,M,Pune,Basic,24,31.68,760.32,3,9,,0,
C00262,2020-08-20,35.0,F,Kolkata,Standard,62,38.35,2377.70,1,6,8.0,0,
C00311,2020-06-20,52.0,F,Kolkata,Standard,13,44.13,573.69,2,15,8.0,1,price
C00911,2019-04-15,29.0,M,Bengaluru,Standard,52,31.19,1621.88,1,27,7.0,0,
C00308,2023-09-25,54.0,Male ,Pune,Basic,10,20.39,203.90,3,8,,1,price
C00050,2022-10-13,,female,Bengaluru,Standard,51,54.19,2763.69,1,3,8.0,0,
C00752,2019-08-15,34.0,F,Kolkata,Premium,60,56.4,3384.00,2,17,7.0,0,
C00003,2021-04-05,47.0,M,Chennai,Standard,29,44.71,1296.59,1,15,6.0,0,
C00712,2020-02-06,46.0,male,Mumbai,Basic,68,25.69,1746.92,1,11,9.0,0,
C00356,2019-07-06,41.0,F,Bengaluru,Basic,41,29.43,1206.63,1,4,7.0,0,
C00915,2022-12-17,50.0,Female,Bengaluru,Standard,52,49.81,2590.12,1,27,7.0,0,
C00543,2022-09-05,,F,Chennai,Basic,14,18.9,264.60,0,22,7.0,0,
C00774,2020-03-16,54.0,male,Kolkata,Standard,35,42.04,1471.40,0,14,,0,
C00627,2021-12-29,33.0,F,Kolkata,Basic,10,26.05,260.50,1,34,10.0,0,
C00714,2022-06-07,38.0,M,Hyderabad,Basic,61,24.07,1468.27,0,15,10.0,0,
C00584,2021-10-20,25.0,Female,Bengaluru,Basic,27,22.68,612.36,2,27,5.0,1,service
C00034,2019-05-16,28.0,M,Bengaluru,Standard,10,45.99,459.90,0,13,9.0,0,
C00032,2021-07-04,33.0,Male ,Kolkata,Basic,49,26.73,1309.77,1,1,9.0,0,
C00232,2022-03-16,31.0,M,Kolkata,Premium,11,64.4,708.40,3,6,5.0,0,
C00757,2021-09-10,27.0,M,Pune,Standard,27,50.93,1375.11,0,4,9.0,0,
C00193,2021-03-28,33.0,M,Hyderabad,Premium,3,68.88,206.64,1,18,8.0,1,competitor
C00881,2020-02-21,41.0,Male ,Hyderabad,Basic,3,15.0,45.00,2,5,8.0,1,competitor
C00004,2020-07-03,49.0,Male ,Pune,Premium,25,64.2,1605.00,0,32,8.0,0,
C00205,2023-11-20,18.0,Female,Bengaluru,Standard,13,46.13,599.69,0,20,6.0,0,
C00495,2019-01-04,34.0,F,Bengaluru,Standard,32,47.54,1521.28,0,8,9.0,0,
C00582,2022-06-16,,F,Mumbai,Basic,64,44.77,2865.28,0,39,7.0,0,
C00482,2020-09-24,55.0,F,Kolkata,Basic,24,27.44,658.56,2,21,8.0,0,
C00110,2019-11-20,18.0,male,Kolkata,Basic,33,18.33,604.89,1,9,7.0,0,
C00291,2021-05-01,35.0,M,Kolkata,Basic,47,29.61,1391.67,2,9,6.0,1,service
C00078,2023-01-05,40.0,Male ,Kolkata,Standard,68,56.48,3840.64,1,10,7.0,0,
C00085,2019-12-13,24.0,F,Pune,Basic,51,17.47,890.97,0,16,8.0,0,
C00360,2022-02-15,36.0,,Hyderabad,Basic,20,23.66,473.20,1,6,8.0,0,
C00083,2022-01-20,34.0,,Kolkata,Standard,62,58.46,3624.52,1,15,8.0,0,
C00257,2020-09-02,43.0,Male ,Pune,Basic,25,23.12,578.00,1,27,6.0,0,
C00353,2022-03-31,31.0,Male ,Hyderabad,Basic,8,17.03,136.24,0,8,10.0,0,
C00371,2020-12-07,38.0,female,Hyderabad,Basic,27,36.45,984.15,3,9,4.0,0,
C00405,2022-03-13,44.0,male,Kolkata,Basic,8,27.43,219.44,1,23,6.0,0,
C00526,2019-06-10,33.0,F,Chennai,Premium,12,49.21,590.52,0,8,9.0,0,
C00310,2020-02-02,150.0,M,Bengaluru,Basic,48,36.84,1768.32,2,2,6.0,0,
C00823,2021-07-27,24.0,Male ,Chennai,Standard,27,52.81,1425.87,1,1,10.0,1,price
C00282,2023-02-20,18.0,M,Mumbai,Standard,55,40.73,2240.15,0,8,9.0,0,
C00006,2021-10-12,22.0,female,Delhi,Premium,30,65.86,1975.80,1,16,7.0,0,
C00409,2020-06-04,18.0,male,Mumbai,Basic,6,22.34,134.04,3,6,5.0,1,service
C00671,2022-01-31,47.0,M,Delhi,Standard,14,37.73,528.22,2,5,8.0,0,
C00098,2019-09-15,26.0,F,Jaipur,Standard,61,55.13,3362.93,0,7,9.0,0,
C00306,2020-12-14,25.0,F,Jaipur,Basic,72,25.09,1806.48,2,20,7.0,0,
C00363,2020-06-30,50.0,F,Kolkata,Basic,12,30.85,370.20,0,2,8.0,0,
C00899,2022-11-04,44.0,F,Kolkata,Basic,52,22.78,1184.56,0,6,9.0,0,
C00267,2020-08-14,40.0,M,Bengaluru,Standard,33,41.24,1360.92,0,26,,0,
C00426,2019-01-20,34.0,F,Kolkata,Standard,15,,812.10,1,16,7.0,0,
C00763,2021-02-12,47.0,M,Pune,Basic,22,27.07,595.54,0,9,7.0,0,
C00307,2020-05-04,,male,Kolkata,Standard,62,44.55,2762.10,0,28,6.0,0,
C00927,2020-10-30,36.0,female,Pune,Standard,22,58.37,1284.14,1,27,9.0,0,
C00498,2020-11-06,34.0,female,Mumbai,Basic,46,20.12,925.52,0,8,9.0,0,
C00119,2021-11-14,57.0,M,Kolkata,Basic,34,33.31,1132.54,1,8,10.0,0,
C00784,2021-12-25,49.0,M,Bengaluru,Standard,7,41.08,287.56,1,16,,0,
C00251,2020-07-24,34.0,Male ,Chennai,Premium,8,54.58,436.64,5,9,1.0,1,price
C00352,2021-06-13,48.0,male,Kolkata,Basic,55,32.76,1801.80,3,10,5.0,0,
C00010,2019-07-14,28.0,male,Kolkata,Standard,10,51.52,515.20,4,15,3.0,1,service
C00197,2019-02-09,46.0,M,Kolkata,Basic,50,29.07,1453.50,0,5,10.0,0,
C00612,2022-06-11,41.0,F,Hyderabad,Basic,8,32.5,260.00,2,8,7.0,0,
C00082,2022-05-09,30.0,female,Bengaluru,Basic,24,35.63,855.12,2,19,6.0,0,
C00383,2019-06-21,19.0,M,Pune,Standard,7,69.48,486.36,1,11,8.0,1,service
C00484,2020-09-04,45.0,female,Bengaluru,Standard,14,45.23,633.22,2,0,8.0,0,
